   1024 	N     362.85 	S    1741.80 	(  4.80) 	N     362.49 	S    1827.95 	(  5.04)
   2048 	N     362.28 	S    1768.41 	(  4.88) 	N     364.21 	S    1801.37 	(  4.95)
   4096 	N     358.55 	S    1728.28 	(  4.82) 	N     364.15 	S    2011.69 	(  5.52)
   8192 	N     355.68 	S    1728.96 	(  4.86) 	N     364.70 	S    2003.44 	(  5.49)
  16384 	N     356.93 	S    1927.49 	(  5.40) 	N     365.18 	S    2058.77 	(  5.64)
  32768 	N     356.00 	S    1993.31 	(  5.60) 	N     365.17 	S    1971.83 	(  5.40)
  65536 	N     356.84 	S    1945.55 	(  5.45) 	N     365.20 	S    2033.40 	(  5.57)
 131072 	N     355.41 	S    1743.21 	(  4.90) 	N     364.94 	S    1935.13 	(  5.30)
 262144 	N     355.46 	S    1750.74 	(  4.93) 	N     364.99 	S    1945.78 	(  5.33)
 524288 	N     353.35 	S    1740.06 	(  4.92) 	N     363.55 	S    1833.57 	(  5.04)
1048576 	N     350.86 	S    1737.91 	(  4.95) 	N     361.86 	S    1871.26 	(  5.17)
2097152 	N     340.29 	S    1083.25 	(  3.18) 	N     356.57 	S    1610.48 	(  4.52)
4194304 	N     340.86 	S     909.82 	(  2.67) 	N     352.05 	S    1156.12 	(  3.28)
8388608 	N     337.66 	S     848.76 	(  2.51) 	N     350.22 	S    1069.94 	(  3.06)
